Codigo,Descripción,Agente,Porcentaje_Propiedad,Tipo_Unidad,Zona/Frontera,Tecnología
AFIBGEC,ALMACENAMIENTO COMPRA,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
AFIBHEC,COMPRA HIBRIDACION EOLICA BAT,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
AFIBHFC,COMPRA HIBRIDACION FV BATERIA,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,ALMACENAMIENTO,ZONA ESPAÑOLA,Almacenamiento Compra
ACAVADB,BOMBAS DO CAVADO,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
ADOUROB,BOMBA DO DOURO,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
AGUB,C.H.B. AGUAYO BOMBEO,"REPSOL SERVICIOS RENOVABLES, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
ALIMAB,BOMBAS DO LIMA,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
BRENAB,UNIDAD OFERTA BOMBEO BREÑA 2,IGNIS ENERGIA S.L.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro
DOUSUPB,DOURO SUPERIOR BOMBAGEM,MOVHERA - HIDROELÉTRICAS DO NORTE SA,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
DUEB,UGH.B. DUERO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto
ENDPRB,C.H.B.M. MONTAMARA BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
GDLQB,GUADALQUIVIR BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
GUADIAB,BACIA H. GUADIANA (BOMBAGEM),EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
GUIB,C.H.B. GUILLENA BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
IPB,C.H.B.IP BOMBEO,ACCIONA GREEN ENERGY DEVELOPMENTS (ACT. COMERCI,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro
MLTB,C.H.B. MORALETS BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
MONDEGB,BOMBEO DA AREA DE MONDEGO,EDP GEM PORTUGAL S.A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
MUEB,C.H.B. LA MUELA BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
SILB,UGH.B. SIL BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto
SLTB,UGH.B. ESTANG. SALLENTE BOMB.,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
TAJB,UGH.B. TAJO BOMBEO,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Mixto
TAMEGAB,TAMEGAB,IBERDROLA ENERGÍA ESPAÑA S..A.,100.0,BOMBEO,ZONA PORTUGUESA,Consumo Bombeo Mixto
TANB,C.H.B. TANES BOMBEO,"EDP ESPAÑA, S.A.U. (GENERACIÓN)",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
TJEB,C.H. B. TAJO ENCANTADA BOMBEO,"ENDESA GENERACIÓN, S.A.",100.0,BOMBEO,ZONA ESPAÑOLA,Consumo de bombeo
UFBB,C.H.B. BOLARQUE BOMBEO,GAS NATURAL COMERCIALIZADORA,100.0,BOMBEO,ZONA ESPAÑOLA,Consumo Bombeo Puro
ABASC01,UOF COMPRA ABASTE,ABASTE COMERCIALIZADORA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ABOUC01,ABOUT WHITE,"ABOUT WHITE, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACCGC02,UNIDAD DE COMPRA,"ACCIONA GREEN, SUCURSAL PT",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ACHEC01,ACHER COMPRA,"ELECTRICA DE CHERA, S.C.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACNHC01,COMPRA,ACENHOL ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACSOC01,ACSOL,"ACSOL ENERGIA GLOBAL, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ACTIC01,UNIDAD PARA OFERTAS DE COMPRA,ACTIVA COMERCIALIZADORA DE ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADEIC01,ADEINNOVA ENERGIA,ADEINNOVA ENERGIA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADELC01,ADELFAS COMPRAS,ADELFAS ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADREC02,AUDAX COMPRA PORTUGAL,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ADSNC01,ADSNC01,ADS ENERGIA AUDITORES Y CONSULTORES SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADURC01,ADURIZ ENERGÍA COMPRA (ESP),ADURIZ ENERGÍA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADXC01,ADX RENOVABLES,ADX RENOVABLES SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ADXRM01,REPRE COMER 1,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM02,REPRE COMER 2,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM03,REPRE COMER 3,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM04,ADS RPRE COMER 4,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM06,REPRE COMER 6,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM07,REPRE COMER 07,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM08,REPRE COMER 8,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM09,REPRE COMER 9,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM10,ECO2,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ADXRM11,FEED ENERGÍA,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AEDEC01,AED ENERGIA,"AED ENERGÍA ELÉCTRICA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AENEC01,UNIDAD DE COMPRA,COX ENERGIA COMERCIALIZADORA ESPAÑA S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AGENC01,ABESL COMPRA,"AB ENERGÍA 1903, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AGLC02,UNIDADE DE COMPRA,AGORALUZ ENERGIA LDA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
AGRIC01,AGRI ENERGIA COMPRA (ESP),AGRI-ENERGÍA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AHOEC01,AHOEC01,AHORRA ENERGIA ASESORES SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AHORC01,AHORA PENINSULA,AHORA LUZ ENERGÍA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AIREC01,AIREC01,AIRE LIMPIO S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AIZEC01,AIZEC01,"AIZEN ENERGIA SOSTENIBLE Y RENOVABLE, S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AJENC01,UNIDAD OFERTANTE A2J ENERGÍA,"A2J ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALAHC01,U.O ALAHURIN,HIDROCARBUROS ALHAURÍN SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALBCC01,ALBCO_COMPRAS_UP,COMERCIALIZADORA ELECTRICA DE ALBATARREC SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALDDC01,18W000000000OLLT,ALDERAAN ENERGIA S.L.U.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ALDRC01,COMERCIALIZADORA ALDRO ENERGIA,"ENI PLENITUDE IBERIA, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALDRC02,COMERCIALIZADORA ELECTRICA PT,"ENI PLENITUDE IBERIA, S.L.U.-SUCURSAL EM PORTUGAL",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ALFAC02,ALFA ENERGIA,"ALFA ENERGIA, LDA",100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ALGICA1,ALGICA1,"SUMINISTROS ESPECIALES ALGINETENSES, S.C.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALIOC01,COMPRA COMERCIALIZADORA,ALIO ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALPXC01,"ALPEX IBERICA DE ENERGIA,S.L","ALPEX IBERICA DE ENERGIA,S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ALUEC01,ALUZ PENINSULAR,ALUZ ENERGÍA ELÉCTRICA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ALUZC01,ALUZC01,AHORRELUZ SERVICIOS ONLINE SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AMEC01,AG. MERCADO ELÉCTRICO COM(ESP),FACTOR ENERGIA ESPAÑA SAU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AMPEC01,AMPEC01,AMPERIOS ENERGY TRADE SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AMPRC01,AMPERE ENERGY COMERCIALIZADORA,AMPERE ENERGY COMERCIALIZADORA Y SERVICIOS ENERGET,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ANIMC01,ANIMA  ENERGIA,GLOBELIGHT ENERGY SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ANTEC01,ANTEA ENERGÍA COMERCIALIZADORA,ANTEA ENERGÍA COMERCIALIZADORA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ANTUC01,ANTUKO COM,"ANTUKO ENERGIA, S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
APOLC01,UP PENINSULAR,APOLO BUSINESS SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
APRIC01,AUSARTA COMPRA ESPAÑA,AUSARTA PRIMA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ARACC01,ARACÁN ENERGÍA,ARACÁN ENERGÍA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AREPC02,AUDAX RENOV. SUC. EM PORTUGAL,AUDAX RENOVABLES S.A.-SUCURSAL EM PORTUGAL,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
ARGUC01,UPR ARGUS,"COLABORA ENERGIA-ARGUS, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ASIEC01,COMERCIALIZ,ASISTENCIA ENERGÉTICA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ASSEC01,18X000000000P5GW,"ASSENN ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ASTRC01,ASTRAL,ASTRALCAD ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ATEEC01,ATENCO PENINSULA,ATENCO ENERGIA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ATLSC01,ATLAS ENERGIA COMERCIAL SL,ATLAS ENERGIA COMERCIAL SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ATRIC01,ATRIA - UNIDAD DE OFERTA 01,ATRIA INVERSIONES ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
AUDAC01,AUDAX COMPRA,AUDAX RENOVABLES S.A.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
AXPOC02,AXPOP COMERCIALIZADOR PT,AXPO ENERGIA PORTUGAL,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
AXPOR01,AXPO SRAD,"AXPO IBERIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
AYLUC01,AYLUZ,AYLUZ COMERCIALIZADORA ELECTRICA S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BALEC01,BALEC01,"ELECBALEAR,S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BECOC01,BASSOLS ENERGÍA COMPRA (ESP),BASSOLS ENERGÍA COMERCIAL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BEYOC01,UNIDAD OFERTANTE,"LUZIA ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BEYRM01,REPR RELUZCA,"LUZIA ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
BIROC01,BIROU GAS SL,BIROU GAS SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BNPRC01,BNPRC01,"BON PREU, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BNPRM01,BNPRM01,"BON PREU, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
BOAEC01,UO BOAENERGETICA 2000 S.L,"BOAENERGETICA 2000, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BPC01,BP AMOCO GAS (ESP),"BP GAS AND POWER IBERIA, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BPRM01,BP REP 01,"BP GAS AND POWER IBERIA, S.A.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
BREIC01,U. OFERTA IBERICA,"IBERICA IMPULSA, S.L",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BSGEC01,BSGEA COMPRA,BSG ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
BUTIC01,BUTIK COMPRA,BUTIK ENERGÍA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CAMCC01,CAMPO_UP,ENERGIAS DE LA VILLA DE CAMPO COMERCIALIZADORA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CARVC01,CARVISA ENERGIA SL,CARVISA ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CATGC01,18WCATGC01-123-C,CATGAS ENERGIA SA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CATRC01,CATRA COMPRA,"ELECTRICA CATRALENSE, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CCASC01,CCASC01,COMERCAST ENERGIAS S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CCATC01,CCATR COMPRA,"COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEBAC01,"COOP ELEC BENEF ALBAT, COOP.V.","COOP ELÉCTRICA BENÉFICA ALBATERENSE, COOP.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CECAC01,COOP. ELECT. CASTELLAR,"COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEDC01,UNIDAD DE OFERTA PENINSULA,COMERCIALIZADORA DE ENERGIA DIRECTA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEESC01,CENES COMPRA ESP,ENERGYA VM ENERGIAS ESPECIALES,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEGC01,CEG COMPRA (ESP),ENERGYA VM GENERACIÓN,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CENTCP3,CENTE DERECHOS COMPRA(FRAN),"ENERGYA VM GESTION DE ENERGIA, S.L.",100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador
CENTC01,CÉNTRICA ENERGÍA COM. 1 (ESP),"ENERGYA VM GESTION DE ENERGIA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CENTVP3,CENTE DERECHOS VENTA(FRAN),"ENERGYA VM GESTION DE ENERGIA, S.L.",100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de comercializadoras
CEPEC01,18W00000000079GW,"COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CEPSC02,COMPRA SUCURSAL PORTUGAL,CEPSA GAS Y ELECTRICIDAD S.A.-SUCURSAL EM PORTUGAL,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
CESOC01,U. COMPRA DE COMERCIALIZADORA,"COMERCIALIZADORA ENERGETICA SOSTENIBLE, S.A.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CETAC01,CETAC01,COMERCIALIZADORA ELECTRICA TALAYUELAS S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CHCC01,UNIDAD DE COMPRA CHC,"CIDE HCENERGIA, S.A.U",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CHERC01,CHERA COMPRA,ELECTRICA SOT DE CHERA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CHISC01,COMCH COMERCIALIZADORA ESP,COMERCIALIZADORA LA CHISTABINA S.L.U,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CIMAC01,CIMA ENERGIA,CIMA ENERGIA COMERCIALIZADORA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CLEAC01,COMPRA,CLEARVIEW ENERGY SL.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CLIDC01,CLIUO01,HOLALUZ-CLIDOM SA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CLIDC02,UD. COMERCIALIZACION,CLIDOMER UNIPESSOAL LDA,100.0,COMERCIALIZADOR,ZONA PORTUGUESA,Comercializador
CLOUC01,UNIDAD DE OFERTA CLOUD,CLOUD ENERGY SYSTEM S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CNEVC01,18W000000000FMKR,CONECTA ENERGIA VERDE,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CNTLC01,CNTLC01,ELECTRACOMERCIAL CENTELLES,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COALC01,COALG COMPRA,"COMERCIALIZADORA SUM ESP ALGINETENSES, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CODOC01,CODOC01,ENERGIA COSTA DORADA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COECC01,CATALANA COMPRA,COMERCIALIZACIÓN ELÉCTRICA CATALANA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COELC01,COELD COMPRA,ELECTRICA DE GUADASSUAR COOP. V.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COESC01,COSEL PENINSULAR,COMPAÑIA DEL SOL DE ELECTRICIDAD,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COGEC01,COGEN COMPRA ELECTRICIDAD,ENERGY BY COGEN,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CONEC01,COMPRA ENERGIA,CONECTA2 ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CONSC01,CONSB UOF,"CONSULTING AND MANAGEMENT GREEN ENERGY, SL",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CONTC01,CONTC01,TUNERGIA EFICIENCIA ENERGETICA Y RENOVABLE S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
COPIC01,COMERCIALIZACION,"COMERCIALIZADORA HAZ DE LUZ RENOVABLE, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CRECC01,CRECE,GRIÑO ENERGÍA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CREEC01,CREA ENERGIA COMERCIALIZADORA,"CREAENERGIA ECO, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CREOC01,CRECE,CRECE SOLUCIONES DE ENERGÍA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CUNCC01,CUNCC01,"ELECTRA CUNTIENSE COMERCIALIADORA, S.L.U.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
CYDAC01,COMPRA CYDAE COMERCIALIZACION,"COMERCIAL Y ASESORA DE ELECTRICIDAD, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
CYEC01,UNIDAD COMPRA COMERCIALIZACION,CYE ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DAIMC01,COMERCIAL DAIMUZ,DAIMUZ ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DEBAC01,DEBAC01,DEBARU ENERGIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DETIC01,DETISA COMPRA (ESP),CEPSA GAS Y ELECTRICIDAD SAU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DETIR01,DETIR01,CEPSA GAS Y ELECTRICIDAD SAU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compra Comercializador Balance
DIELC01,DIEL COMERCIALIADORA,DISA ENERGIA ELECTRICA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DIENC01,DIENER01,RAINAL INGENIERIA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DILUC01,DILUZ,DILUZ COMERCIALIZADORA DE ELECTRICIDAD S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DINEC01,CODIGO UO ENERGY DIAGONAL DOS,ENERGY DIAGONAL DOS S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DIRGC01,DIRECTGREEN,DIRECT GREEN,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DIVIC01,UNIDAD DE OFERTA DIVICONSULTIN,DIVICONSULTING ENERGIA S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DLSTC01,UNIDAD OFERTANTE GO ENERGIA,ENERGÉTICA DEL ESTE S.L,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DPKEC01,DEEPKI ESPAÑA,DEEPKI ESPAÑA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DREAC01,UO COMPRAS DREUA 01,"FOENER ENERGÍA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DRKFC01,DRK,"DRK ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DRKRM01,QUALC01,"DRK ENERGY, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
DSMAC01,DSMART COMPRA,3D SMART ENERGY S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DUFECP3,DUFER EXPORT RIGHTS UNIT,DXT COMMODITIES SA,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Comercializador no residente
DUFEC01,DUFEC01,DXT COMMODITIES SA,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
DUFEVP3,DUFER IMPORT RIGHTS UNIT,DXT COMMODITIES SA,100.0,COMERCIALIZADOR,FRONTERA FRANCIA,Import. de agentes externos
DYNFC01,DYNFC01,DYNEFF ESPAÑA SL,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
EALBC01,EALB COMPRA,"ELECTRICA ALBATERENSE, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
EALMC01,ELALM COMERCIALIZADOR ESP,ELECTRICITAT D ALMENAR S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
EAMC01,AMADR COMPRA,"ELÉCTRICA ANTONIO MADRID, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
EAM0C01,EAM01 COMPRA,ELECTRA ALTO MIÑO COMERCIALIZADORA DE ENERGÍA SLU,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
EBLCO01,ENGIE SPAIN RETAILER,"ENGIE ESPAÑA,S.L.U",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
EBREC01,EBREC01,"EBROENERGIA COMERCIALIZADORA, S.L.",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ECATC01,ELCAT COMPRA,"DISTRIBUIDORA ELÉCTRICA DE CATOIRA, S.A",100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ECAZC01,ELECTRICA  CADIZ COMPRA (ESP),ELECTRICA DE CADIZ,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
ECOFC01,COMPRA COMERCIALIZADORA,ECOFUTURA LUZ ENERGIA S.L.,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Compras Comercialización
ECOVC01,18W000000000O3FL,ECOVERGY RENOVABLES,100.0,COMERCIALIZADOR,ZONA ESPAÑOLA,Comercializador
